Flag,Description,Type,Part,Quantity,UOM,IsVariableQuantity,MinQuantity,MaxQuantity,OptionGroup,OptionGroupPrompt,IsGroupDefault,PriceAdjustment,IsOneTimeItem,IsStage,StageBOMNumber,ConfigurationSortOrder
Item,Add N1S-M-008,Raw Good,N1S-M-008,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,80
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BOM,NANO-S Electrical-Components,NANO-S Electrical-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-S Electrical-Components,Finished Good,NANO-S Electrical-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add 80MM-FAN-10,Raw Good,80MM-FAN-10,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,58
Item,Add COM-2P-MALE,Raw Good,COM-2P-MALE,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,78
Item,Add E-STOP-LABEL,Raw Good,E-STOP-LABEL,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,73
Item,Add PCB-24V,Raw Good,PCB-24V,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,89
Item,Add POW-DB-F,Raw Good,POW-DB-F,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,76
Item,Add POW-E-STOP-HEAD,Raw Good,POW-E-STOP-HEAD,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,11
Item,Add POW-E-STOP-1CR,Raw Good,POW-E-STOP-1CR,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,27
Item,Add PS-24V-LRS75-24,Raw Good,PS-24V-LRS75-24,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,16
Item,Add SOL-24V-R,Raw Good,SOL-24V-R,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,65
Item,Add TS-55C,Raw Good,TS-55C,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,71
BOM,NANO-1000S_2000S Electrical-Components,NANO-1000S_2000S Electrical-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S_2000S Electrical-Components,Finished Good,NANO-1000S_2000S Electrical-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add MD-110220-SVO,Raw Good,MD-110220-SVO,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,64
Item,Add MOT-SVO-750,Raw Good,MOT-SVO-750,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,63
Item,Add POW-E-SWITCH,Raw Good,POW-E-SWITCH,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,75
BOM,NANO-1000S Electrical-Components,NANO-1000S Electrical-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S Electrical-Components,Finished Good,NANO-1000S Electrical-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add N1S-WIRES,Raw Good,N1S-WIRES,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,58
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BOM,NANO-S Standard-Components,NANO-S Standard-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-S Standard-Components,Finished Good,NANO-S Standard-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add DB-6-8-12,Raw Good,DB-6-8-12,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,28
Item,Add HOSE-32MM-CLP,Raw Good,HOSE-32MM-CLP,9,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,57
Item,Add KEY-6-6-20,Raw Good,KEY-6-6-20,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,52
Item,Add M8-FEET,Raw Good,M8-FEET,5,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,40
Item,Add N1-002-O-Ring,Raw Good,N1-002-O-Ring,3,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,19
Item,Add N1S-P-001,Raw Good,N1S-P-001,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,29
Item,Add N1S-P-002,Raw Good,N1S-P-002,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,33
Item,Add N1S-P-005,Raw Good,N1S-P-005,4,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,45
Item,Add N1S-P-006,Raw Good,N1S-P-006,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,46
Item,Add N1S-P-008,Raw Good,N1S-P-008,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,60
Item,Add N1S-P-009-531,Raw Good,N1S-P-009-531,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,28
Item,Add P-3/4-25FF,Raw Good,P-3/4-25FF,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,9
Item,Add P-3/4-25MF,Raw Good,P-3/4-25MF,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,35
Item,Add P-3/4-M-25BARB,Raw Good,P-3/4-M-25BARB,3,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,34
Item,Add PTC-1/4-E-M-6MM,Raw Good,PTC-1/4-E-M-6MM,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,69
Item,Add PTC-1/4-M-8MM,Raw Good,PTC-1/4-M-8MM,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,38
Item,Add PTC-E-6-6MM,Raw Good,PTC-E-6-6MM,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,38
Item,Add Tube-6mm-200m,Raw Good,Tube-6mm-200m,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,23
Item,Add P-3/4-25MM,Raw Good,P-3/4-25MM,2,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,37
BOM,NANO-1000S_2000S Standard-Components,NANO-1000S_2000S Standard-Components,TRUE,1,,Never,None,Imported from QuickBooks,,,,,,,,
Item,Create NANO-1000S_2000S Standard-Components,Finished Good,NANO-1000S_2000S Standard-Components,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,4
Item,Add TC-52-62-7,Raw Good,TC-52-62-7,1,ea,FALSE,0,0,,,TRUE,0,FALSE,FALSE,,27
